Word-1: bölge, Word-1-Size: 205, Word-2: adliye, Word-2-Size: 205, Bigram-Words: ('bölge', 'adliye'), Bigram-Words-Size: 204, Mutual Information 7.338691236655595
Word-1: sulh, Word-1-Size: 153, Word-2: hukuk, Word-2-Size: 374, Bigram-Words: ('sulh', 'hukuk'), Bigram-Words-Size: 146, Mutual Information 6.41076834999472
Word-1: maddesi, Word-1-Size: 293, Word-2: uyarınca, Word-2-Size: 176, Bigram-Words: ('maddesi', 'uyarınca'), Bigram-Words-Size: 141, Mutual Information 6.51058897303424
Word-1: davacı, Word-1-Size: 329, Word-2: idare, Word-2-Size: 178, Bigram-Words: ('davacı', 'idare'), Bigram-Words-Size: 118, Mutual Information 6.070191938355194
Word-1: reddine, Word-1-Size: 154, Word-2: karar, Word-2-Size: 509, Bigram-Words: ('reddine', 'karar'), Bigram-Words-Size: 100, Mutual Information 5.41077389669912
Word-1: ilk, Word-1-Size: 102, Word-2: derece, Word-2-Size: 136, Bigram-Words: ('ilk', 'derece'), Bigram-Words-Size: 91, Mutual Information 7.773132550671853
Word-1: adliye, Word-1-Size: 205, Word-2: mahkemesi, Word-2-Size: 107, Bigram-Words: ('adliye', 'mahkemesi'), Bigram-Words-Size: 91, Mutual Information 7.112073647987095
Word-1: maddesi, Word-1-Size: 293, Word-2: gereğince, Word-2-Size: 98, Bigram-Words: ('maddesi', 'gereğince'), Bigram-Words-Size: 87, Mutual Information 6.658702891006264
Word-1: vekili, Word-1-Size: 116, Word-2: tarafından, Word-2-Size: 153, Bigram-Words: ('vekili', 'tarafından'), Bigram-Words-Size: 82, Mutual Information 7.267409260492852
Word-1: kanunun, Word-1-Size: 92, Word-2: maddesi, Word-2-Size: 293, Bigram-Words: ('kanunun', 'maddesi'), Bigram-Words-Size: 80, Mutual Information 6.628835378103093
Word-1: oybirliğiyle, Word-1-Size: 79, Word-2: karar, Word-2-Size: 509, Bigram-Words: ('oybirliğiyle', 'karar'), Bigram-Words-Size: 79, Mutual Information 6.033704247619297
Word-1: yetkisizlik, Word-1-Size: 76, Word-2: kararı, Word-2-Size: 201, Bigram-Words: ('yetkisizlik', 'kararı'), Bigram-Words-Size: 76, Mutual Information 7.374174402516063
Word-1: gününde, Word-1-Size: 85, Word-2: oybirliğiyle, Word-2-Size: 79, Bigram-Words: ('gününde', 'oybirliğiyle'), Bigram-Words-Size: 71, Mutual Information 8.46180152888487
Word-1: istinaf, Word-1-Size: 151, Word-2: başvurusunun, Word-2-Size: 72, Bigram-Words: ('istinaf', 'başvurusunun'), Bigram-Words-Size: 70, Mutual Information 7.746179369872567
Word-1: tarihinden, Word-1-Size: 86, Word-2: itibaren, Word-2-Size: 79, Bigram-Words: ('tarihinden', 'itibaren'), Bigram-Words-Size: 67, Mutual Information 8.361269781273563
Word-1: mahkemesi, Word-1-Size: 107, Word-2: hukuk, Word-2-Size: 374, Bigram-Words: ('mahkemesi', 'hukuk'), Bigram-Words-Size: 67, Mutual Information 5.8029538378639804
Word-1: karar, Word-1-Size: 509, Word-2: taraflar, Word-2-Size: 87, Bigram-Words: ('karar', 'taraflar'), Bigram-Words-Size: 66, Mutual Information 5.635154871129021
Word-1: kanununun, Word-1-Size: 107, Word-2: maddesine, Word-2-Size: 75, Bigram-Words: ('kanununun', 'maddesine'), Bigram-Words-Size: 66, Mutual Information 8.099334536156418
Word-1: sayılı, Word-1-Size: 509, Word-2: kamulaştırma, Word-2-Size: 144, Bigram-Words: ('sayılı', 'kamulaştırma'), Bigram-Words-Size: 65, Mutual Information 4.886147059205439
Word-1: ilişkin, Word-1-Size: 226, Word-2: olarak, Word-2-Size: 287, Bigram-Words: ('ilişkin', 'olarak'), Bigram-Words-Size: 63, Mutual Information 5.017420128104033
Word-1: kamulaştırma, Word-1-Size: 144, Word-2: kanununun, Word-2-Size: 107, Bigram-Words: ('kamulaştırma', 'kanununun'), Bigram-Words-Size: 63, Mutual Information 7.0911140293514485
Word-1: vekilinin, Word-1-Size: 157, Word-2: temyiz, Word-2-Size: 346, Bigram-Words: ('vekilinin', 'temyiz'), Bigram-Words-Size: 60, Mutual Information 5.202867712775158
Word-1: davanın, Word-1-Size: 218, Word-2: kabulüne, Word-2-Size: 84, Bigram-Words: ('davanın', 'kabulüne'), Bigram-Words-Size: 60, Mutual Information 6.771614941747824
Word-1: davalı, Word-1-Size: 391, Word-2: yönünden, Word-2-Size: 118, Bigram-Words: ('davalı', 'yönünden'), Bigram-Words-Size: 59, Mutual Information 5.414201296387639
Word-1: yapılan, Word-1-Size: 189, Word-2: yargılama, Word-2-Size: 98, Bigram-Words: ('yapılan', 'yargılama'), Bigram-Words-Size: 58, Mutual Information 6.706254820486283
Word-1: esastan, Word-1-Size: 72, Word-2: reddine, Word-2-Size: 154, Bigram-Words: ('esastan', 'reddine'), Bigram-Words-Size: 58, Mutual Information 7.44649554668535
Word-1: taraflar, Word-1-Size: 87, Word-2: arasındaki, Word-2-Size: 91, Bigram-Words: ('taraflar', 'arasındaki'), Bigram-Words-Size: 58, Mutual Information 7.932468952775139
Word-1: hukuk, Word-1-Size: 374, Word-2: mahkemesinin, Word-2-Size: 171, Bigram-Words: ('hukuk', 'mahkemesinin'), Bigram-Words-Size: 56, Mutual Information 4.867834040979061
Word-1: sayılı, Word-1-Size: 509, Word-2: kanunun, Word-2-Size: 92, Bigram-Words: ('sayılı', 'kanunun'), Bigram-Words-Size: 55, Mutual Information 5.291502005086943
Word-1: davalı, Word-1-Size: 391, Word-2: idare, Word-2-Size: 178, Bigram-Words: ('davalı', 'idare'), Bigram-Words-Size: 55, Mutual Information 4.719827578945901
Word-1: verilen, Word-1-Size: 204, Word-2: karara, Word-2-Size: 70, Bigram-Words: ('verilen', 'karara'), Bigram-Words-Size: 54, Mutual Information 6.978405236941998
Word-1: kabulüne, Word-1-Size: 84, Word-2: ilişkin, Word-2-Size: 226, Bigram-Words: ('kabulüne', 'ilişkin'), Bigram-Words-Size: 53, Mutual Information 6.540650163064242
Word-1: yapılan, Word-1-Size: 189, Word-2: istinaf, Word-2-Size: 151, Bigram-Words: ('yapılan', 'istinaf'), Bigram-Words-Size: 53, Mutual Information 5.9524993847120395
Word-1: peşin, Word-1-Size: 59, Word-2: alınan, Word-2-Size: 72, Bigram-Words: ('peşin', 'alınan'), Bigram-Words-Size: 51, Mutual Information 8.645083384862334
Word-1: sayılı, Word-1-Size: 509, Word-2: kanunla, Word-2-Size: 51, Bigram-Words: ('sayılı', 'kanunla'), Bigram-Words-Size: 51, Mutual Information 6.033704247619297
Word-1: idare, Word-1-Size: 178, Word-2: vekilinin, Word-2-Size: 157, Bigram-Words: ('idare', 'vekilinin'), Bigram-Words-Size: 51, Mutual Information 5.927297255808463
Word-1: adliye, Word-1-Size: 205, Word-2: mahkemesinin, Word-2-Size: 171, Bigram-Words: ('adliye', 'mahkemesinin'), Bigram-Words-Size: 51, Mutual Information 5.600318821275144
Word-1: yönünden, Word-1-Size: 118, Word-2: işleyecek, Word-2-Size: 78, Bigram-Words: ('yönünden', 'işleyecek'), Bigram-Words-Size: 50, Mutual Information 7.501037015245626
Word-1: kanunla, Word-1-Size: 51, Word-2: değişik, Word-2-Size: 64, Bigram-Words: ('kanunla', 'değişik'), Bigram-Words-Size: 50, Mutual Information 8.996656941498221
Word-1: hukuk, Word-1-Size: 374, Word-2: dairesince, Word-2-Size: 49, Bigram-Words: ('hukuk', 'dairesince'), Bigram-Words-Size: 49, Mutual Information 6.478331633807355
Word-1: idare, Word-1-Size: 178, Word-2: vekilince, Word-2-Size: 85, Bigram-Words: ('idare', 'vekilince'), Bigram-Words-Size: 49, Mutual Information 6.7548115707061
Word-1: değişik, Word-1-Size: 64, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('değişik', 'sayılı'), Bigram-Words-Size: 48, Mutual Information 5.618666748340453
Word-1: faizi, Word-1-Size: 55, Word-2: birlikte, Word-2-Size: 81, Bigram-Words: ('faizi', 'birlikte'), Bigram-Words-Size: 47, Mutual Information 8.458605228963345
Word-1: gereği, Word-1-Size: 103, Word-2: görüşülüp, Word-2-Size: 47, Bigram-Words: ('gereği', 'görüşülüp'), Bigram-Words-Size: 46, Mutual Information 8.307698670891149
Word-1: asliye, Word-1-Size: 52, Word-2: hukuk, Word-2-Size: 374, Bigram-Words: ('asliye', 'hukuk'), Bigram-Words-Size: 46, Mutual Information 6.301453871723276
Word-1: sayılı, Word-1-Size: 509, Word-2: maddesi, Word-2-Size: 293, Bigram-Words: ('sayılı', 'maddesi'), Bigram-Words-Size: 45, Mutual Information 3.3308004895267236
Word-1: tarafından, Word-1-Size: 153, Word-2: temyiz, Word-2-Size: 346, Bigram-Words: ('tarafından', 'temyiz'), Bigram-Words-Size: 45, Mutual Information 4.82506311969529
Word-1: temyiz, Word-1-Size: 346, Word-2: itirazları, Word-2-Size: 47, Bigram-Words: ('temyiz', 'itirazları'), Bigram-Words-Size: 45, Mutual Information 6.527862110710305
Word-1: i̇lk, Word-1-Size: 45, Word-2: derece, Word-2-Size: 136, Bigram-Words: ('i̇lk', 'derece'), Bigram-Words-Size: 45, Mutual Information 7.937763252444652
